incident_datetime,Incident_count
2019-04-08,108
2019-04-09,85
2019-04-10,131
2019-04-11,120
2019-04-12,169
2019-04-13,141
2019-04-14,161
2019-04-15,121
2019-04-16,148
2019-04-17,143
2019-04-18,141
2019-04-19,176
2019-04-20,177
2019-04-21,175
2019-04-22,123
2019-04-23,142
2019-04-24,126
2019-04-25,144
2019-04-26,111
2019-04-27,117
2019-04-28,119
2019-04-29,154
2019-04-30,127
2019-05-01,157
2019-05-02,144
2019-05-03,138
2019-05-04,118
2019-05-05,113
2019-05-06,122
2019-05-07,146
2019-05-08,102
2019-05-09,105
2019-05-10,121
2019-05-11,102
2019-05-12,104
2019-05-13,88
2019-05-14,125
2019-05-15,115
2019-05-16,118
2019-05-17,172
2019-05-18,159
2019-05-19,148
2019-05-20,114
2019-05-21,116
2019-05-22,109
2019-05-23,143
2019-05-24,137
2019-05-25,125
2019-05-26,93
2019-05-27,85
2019-05-28,90
2019-05-29,114
2019-05-30,85
2019-05-31,102
2019-06-01,105
2019-06-02,103
2019-06-03,103
2019-06-04,96
2019-06-05,93
2019-06-06,103
2019-06-07,109
2019-06-08,118
2019-06-09,121
2019-06-10,99
2019-06-11,86
2019-06-12,76
2019-06-13,68
2019-06-14,80
2019-06-15,102
2019-06-16,86
2019-06-17,96
2019-06-18,97
2019-06-19,93
2019-06-20,112
2019-06-21,109
2019-06-22,96
2019-06-23,118
2019-06-24,137
2019-06-25,105
2019-06-26,118
2019-06-27,92
2019-06-28,121
2019-06-29,110
2019-06-30,89
2019-07-01,102
2019-07-02,84
2019-07-03,117
2019-07-04,101
2019-07-05,129
2019-07-06,137
2019-07-07,106
2019-07-08,95
2019-07-09,104
2019-07-10,142
2019-07-11,95
2019-07-12,96
2019-07-13,108
2019-07-14,113
2019-07-15,116
2019-07-16,89
2019-07-17,79
2019-07-18,95
2019-07-19,114
2019-07-20,136
2019-07-21,86
2019-07-22,107
2019-07-23,97
2019-07-24,87
2019-07-25,79
2019-07-26,98
2019-07-27,101
2019-07-28,92
2019-07-29,93
2019-07-30,109
2019-07-31,118
2019-08-01,104
2019-08-02,116
2019-08-03,105
2019-08-04,107
2019-08-05,95
2019-08-06,113
2019-08-07,97
2019-08-08,105
2019-08-09,102
2019-08-10,100
2019-08-11,101
2019-08-12,82
2019-08-13,98
2019-08-14,87
2019-08-15,83
2019-08-16,102
2019-08-17,144
2019-08-18,77
