Date,Ball_Minimum temperature (°C),Ball_Maximum temperature (°C),Ball_Direction of maximum wind gust,Ball_Speed of maximum wind gust (km/h)
2019-03-29,12.6,27.2,NNW,85.0
2019-03-30,4.7,13.3,WSW,61.0
2019-03-31,5.9,15.4,WSW,43.0
2019-02-01,8.4,22.5,ESE,63.0
2019-02-02,7.9,33.7,NNW,48.0
2019-02-03,11.7,38.6,SE,54.0
2019-02-04,14.6,23.1,S,54.0
2019-02-05,12.7,25.0,SSE,61.0
2019-02-06,14.5,34.2,NW,69.0
2019-02-07,16.6,28.8,WNW,33.0
2019-02-08,14.4,23.1,WSW,39.0
2019-02-09,9.1,17.7,WSW,69.0
2019-02-10,5.6,23.6,WNW,35.0
2019-02-11,9.4,23.8,NW,46.0
2019-02-12,13.9,17.0,W,63.0
2019-02-13,6.0,18.5,SW,43.0
2019-02-14,4.1,22.9,S,33.0
2019-02-15,10.9,27.9,SE,43.0
2019-02-16,11.7,29.8,S,37.0
2019-02-17,11.4,29.5,SW,35.0
2019-02-18,16.0,26.4,WSW,41.0
2019-02-19,8.8,19.7,SW,43.0
2019-02-20,6.9,23.2,WSW,41.0
2019-02-21,7.8,22.6,SSE,43.0
2019-02-22,11.3,26.1,SSE,43.0
2019-02-23,12.0,26.4,SE,52.0
2019-02-24,10.7,31.0,N,57.0
2019-02-25,15.6,31.3,NNE,52.0
2019-02-26,13.9,30.6,SE,46.0
2019-02-27,11.1,34.3,SE,48.0
2019-02-28,17.6,36.3,NNE,52.0
2019-01-01,8.0,28.9,S,46.0
2019-01-02,13.3,26.0,SE,43.0
2019-01-03,12.3,32.8,SE,43.0
2019-01-04,16.6,39.7,NW,69.0
2019-01-05,11.5,21.6,SSE,48.0
2019-01-06,7.3,21.9,SSE,50.0
2019-01-07,12.6,26.9,SSE,43.0
2019-01-08,11.7,28.1,S,46.0
2019-01-09,10.8,21.1,SW,46.0
2019-01-10,5.9,23.8,SE,46.0
2019-01-11,10.6,31.6,SE,43.0
2019-01-12,15.6,30.7,SSE,57.0
2019-01-13,11.4,28.0,SE,63.0
2019-01-14,10.9,37.8,ESE,41.0
2019-01-15,13.9,37.6,SSW,43.0
2019-01-16,15.5,36.9,S,50.0
2019-01-17,20.4,33.6,W,61.0
2019-01-18,17.9,30.6,SSW,44.0
2019-01-19,9.2,24.9,SSE,41.0
2019-01-20,10.8,29.3,SSE,52.0
2019-01-21,14.5,35.1,SE,44.0
2019-01-22,15.3,36.9,SSW,46.0
2019-01-23,13.9,30.6,None,0.0
2019-01-24,14.6,39.3,None,0.0
2019-01-25,24.7,41.0,N,67.0
2019-01-26,14.9,31.3,W,52.0
2019-01-27,12.0,26.2,W,50.0
2019-01-28,11.2,31.7,N,44.0
2019-01-29,11.0,34.0,NNW,56.0
2019-01-30,11.7,36.7,NW,100.0
2019-01-31,11.9,21.2,SSW,50.0
