Date,Ball_Minimum temperature (°C),Ball_Maximum temperature (°C),Ball_Direction of maximum wind gust,Ball_Speed of maximum wind gust (km/h)
2021-10-26,4.3,18.6,ESE,30.0
2021-10-27,5.6,24.6,N,52.0
2021-10-28,9.9,24.3,W,61.0
2021-10-29,7.0,13.1,WSW,100.0
2021-10-30,0.0,12.8,WSW,48.0
2021-10-31,0.7,17.9,NW,31.0
2021-09-01,4.8,19.3,N,44.0
2021-09-02,9.5,21.7,N,69.0
2021-09-03,13.5,14.3,NNE,50.0
2021-09-04,6.6,11.0,SSE,43.0
2021-09-05,4.1,10.8,WSW,46.0
2021-09-06,4.7,13.1,SSW,52.0
2021-09-07,5.2,11.7,SW,46.0
2021-09-08,0.1,15.8,N,41.0
2021-09-09,7.8,21.0,NW,67.0
2021-09-10,6.3,16.3,N,43.0
2021-09-11,8.8,15.9,NNE,48.0
2021-09-12,4.2,11.5,WNW,48.0
2021-09-13,0.5,11.8,S,50.0
2021-09-14,0.3,12.0,SE,30.0
2021-09-15,1.6,12.4,SE,39.0
2021-09-16,3.6,14.3,ESE,26.0
2021-09-17,4.9,18.3,NNE,78.0
2021-09-18,5.9,12.3,W,61.0
2021-09-19,2.4,14.4,NW,57.0
2021-09-20,5.5,10.6,WSW,69.0
2021-09-21,1.7,10.0,S,44.0
2021-09-22,5.1,15.8,WSW,33.0
2021-09-23,4.4,16.4,NNW,41.0
2021-09-24,5.0,14.6,W,61.0
2021-09-25,3.5,10.3,S,43.0
2021-09-26,-0.7,15.3,ESE,46.0
2021-09-27,1.5,15.9,N,44.0
2021-09-28,5.2,19.9,NNW,33.0
2021-09-29,11.1,16.5,SE,46.0
2021-09-30,10.7,15.8,ESE,37.0
2021-08-01,2.1,11.2,W,35.0
2021-08-02,3.6,11.3,N,59.0
2021-08-03,2.5,9.7,SW,54.0
2021-08-04,4.5,10.7,WSW,46.0
2021-08-05,6.6,11.3,WSW,41.0
2021-08-06,7.2,10.8,WSW,39.0
2021-08-07,4.5,11.4,SW,39.0
2021-08-08,-0.2,11.8,N,28.0
2021-08-09,2.0,12.2,NNW,35.0
2021-08-10,2.6,13.9,NNE,69.0
2021-08-11,7.4,10.0,NNE,52.0
2021-08-12,3.7,12.4,NW,35.0
2021-08-13,3.3,13.5,WNW,41.0
2021-08-14,1.4,13.2,NNW,37.0
2021-08-15,3.8,14.7,NW,56.0
2021-08-16,6.9,11.2,WSW,52.0
2021-08-17,6.9,11.3,SW,33.0
2021-08-18,1.8,12.8,N,33.0
2021-08-19,3.1,13.6,N,41.0
2021-08-20,5.9,13.2,N,56.0
2021-08-21,4.3,14.8,NNW,44.0
2021-08-22,5.6,17.0,N,67.0
2021-08-23,5.9,10.0,NW,44.0
2021-08-24,1.3,9.9,S,48.0
2021-08-25,4.5,10.1,SSE,50.0
2021-08-26,1.6,9.8,SE,35.0
2021-08-27,-1.4,13.3,WNW,24.0
2021-08-28,-0.4,13.6,N,52.0
2021-08-29,5.8,12.6,NNE,50.0
2021-08-30,2.1,14.2,N,50.0
2021-08-31,6.5,19.8,NNW,61.0
2021-07-01,8.0,11.8,NNE,41.0
2021-07-02,8.0,10.1,NNE,48.0
2021-07-03,2.8,6.3,N,39.0
2021-07-04,2.6,9.1,WNW,50.0
2021-07-05,5.2,9.2,W,33.0
2021-07-06,4.9,8.7,NNW,22.0
2021-07-07,3.8,9.5,NNW,26.0
2021-07-08,-2.4,8.5,N,24.0
2021-07-09,-2.1,11.1,SE,24.0
2021-07-10,-0.7,13.1,SE,26.0
2021-07-11,-1.0,10.4,NNE,52.0
2021-07-12,5.6,11.7,N,54.0
2021-07-13,5.6,11.1,N,44.0
